Foci_Nucleus	Treat_collapsed	Treatment	Light
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
3	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
4	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
3	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
3	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
3	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
6	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
4	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
4	DMSO L-	DMSO	Off
2	DMSO L-	DMSO	Off
1	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
7	DMSO L-	DMSO	Off
6	DMSO L-	DMSO	Off
5	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
0	DMSO L-	DMSO	Off
7	DMSO L+	DMSO	On
11	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
9	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
9	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
15	DMSO L+	DMSO	On
3	DMSO L+	DMSO	On
11	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
4	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
17	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
3	DMSO L+	DMSO	On
4	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
3	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
15	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
19	DMSO L+	DMSO	On
4	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
7	DMSO L+	DMSO	On
14	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
12	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
10	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
17	DMSO L+	DMSO	On
13	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
9	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
7	DMSO L+	DMSO	On
33	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
4	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
6	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
5	DMSO L+	DMSO	On
3	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
6	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
18	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
7	DMSO L+	DMSO	On
9	DMSO L+	DMSO	On
8	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
6	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
4	DMSO L+	DMSO	On
2	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
1	DMSO L+	DMSO	On
4	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	DMSO L+	DMSO	On
0	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
4	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
3	OA L-	Okadaic acid	Off
3	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
3	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
